Namn|Adress|Stad/kommun|Avgift|Öppettider|Webbplats
Fjärran Höjderbadet|Lantmäterigatan 5, 802 64 Gävle|Gävle kommun|Vuxen (från 21 år): 160 kr|Okänd|https://www.gavle.se/kultur-och-fritid/natur-och-friluftsliv/bad/fjarran-hojderbadet/
Hemlingby (Hemlingbystugan) – bastu (minigym)|Hemlingbyvägen 93, 802 57 Gävle|Gävle kommun|Okänd|Gym: Mån–fre 08.00–17.00, Lör–sön 10.00–16.00; Bastu: Mån och tor 08.00–16.30|https://www.gavle.se/kultur-och-fritid/natur-och-friluftsliv/hemlingby-friluftsomrade/att-gora-i-omradet/gym-dusch-och-bastu/
Parkbadet|Barrsätragatan 38, 811 80 Sandviken|Sandvikens kommun|Vuxen (20+): 150 kr|Okänd|https://sandviken.se/kulturochfritid/badplatserochbassangbad/parkbadet.9320.html
Hoforshallen simhall|Göklundsvägen 8, 813 32 Hofors|Hofors kommun|Vuxen: 68 kr; Endast bastu: 33 kr|Tis 06.00–08.00 och 14.00–19.00, Fre 06.00–08.00 och 14.00–19.00, Lör 10.00–17.00, Sön stängt|https://www.hofors.se/kultur–fritid/idrottsanlaggningar/hoforshallen-simhall.html
Bollnäs simhall|Okänd|Bollnäs kommun|Vuxen: 78 kr|Okänd|https://bollnas.se/uppleva-och-gora/idrott-motion-och-friluftsliv/simhallar/bollnas-simhall
Arbrå simhall|Elevvägen 5, 821 61 Arbrå|Bollnäs kommun|Vuxen: 78 kr|Okänd|https://bollnas.se/uppleva-och-gora/idrott-motion-och-friluftsliv/simhallar/arbra-simhall
Kilafors simhall|Skolgatan 1, 823 30 Kilafors|Bollnäs kommun|Vuxen: 78 kr|Okänd|https://bollnas.se/uppleva-och-gora/idrott-motion-och-friluftsliv/simhallar/kilafors-simhall
Alfta simhall|Långgatan 67, 822 30 Alfta|Ovanåkers kommun|Vuxen: 60 kr|Mån 16.00–21.00, Tis stängt, Ons stängt, Tor 15.00–20.00, Fre 06.00–10.00 och 13.00–19.00, Lör stängt, Sön 10.00–15.00|https://www.ovanaker.se/kulturochfritid/simhallar/alftasimhall.334.html
Edsbyns simhall|Sporthallsvägen 9, 828 33 Edsbyn|Ovanåkers kommun|Vuxen: 60 kr|Mån 16.00–20.00, Tis 15.00–20.00, Ons 14.00–20.00, Tor 15.00–20.00, Fre 14.00–19.00, Lör 10.00–15.00, Sön stängt|https://www.ovanaker.se/kulturochfritid/simhallar/edsbynssimhall.335.html
Aquarena (Hällåsen)|Hällåsen 606, 826 40 Söderhamn|Söderhamns kommun|Från 18 år: 80 kr|Tis 07.00–21.00, Ons 07.00–21.00, Tor 13.00–21.00, Fre 07.00–20.00, Lör 09.30–15.30, Sön 09.30–14.30, Mån stängt|https://www.soderhamn.se/sidor/uppleva-och-gora/hallar-och-idrottsanlaggningar/aquarena-hallasen.html
Hudik bad & relax|Norra Kyrkogatan 9B, 824 30 Hudiksvall|Hudiksvalls kommun|Okänd|Mån 15.00–19.00, Tis 06.00–08.00 och 15.00–19.00, Ons 06.00–08.00 och 15.00–19.00, Tor 06.00–08.00 och 15.00–20.00, Fre 12.00–20.00, Lör stängt, Sön stängt|https://hudiksvall.se/Sidor/Uppleva-och-gora/Bada/Hudik-bad–relax.html
Iggesunds badhus|Centralgatan 4, 825 30 Iggesund|Hudiksvalls kommun|Okänd|Okänd|https://hudiksvall.se/Sidor/Uppleva-och-gora/Bada/Iggesunds-badhus.html
Delsbo simhall|Torggatan 1, Delsbo|Hudiksvalls kommun|Okänd|Tis 14.00–19.30, Ons 06.00–08.00, Tor 14.00–17.00 och 17.00–20.00, Fre 06.00–08.00 och 14.00–19.30, Lör 10.00–15.00, Mån stängt, Sön stängt|https://hudiksvall.se/Sidor/Uppleva-och-gora/Bada/Delsbo-simhall.html
