Namn|Adress|Stad/kommun|Avgift|Öppettider|Webbplats
Bastedalens Herrgård – Bastu|Bastedalen 110, 694 91 Hallsberg|Hallsbergs kommun|Ingår i boende/paket|Okänd|https://www.bastedalenherrgard.se/
Viby Bastun|Viby, exakt adress ej angiven|Hallsbergs kommun|Okänd|Okänd|https://vibybastun.wordpress.com/
Hasselfors Kulturbastuförening|Hasselfors bruk, adress ej angiven|Laxå kommun|Okänd|Okänd|https://hasselfors-kulturbastuforening.webnode.se/
Sörbybacken – Relax & Bastu|Sörbybacken, 702 31 Örebro|Örebro kommun|Ingår i bokad relax|Okänd|https://sorbybacken.se/relax/
Annaboda Bastu (friluftsgård)|Annaboda 420, 719 93 Vintrosa|Örebro kommun|Okänd|Okänd|https://www.orebro.se/kultur--fritid/motion--idrott/idrottsanlaggningar/annaboda--kilsbergen.html
Kloten Nature Resort – Bastu|Kloten, adress ej angiven|Ljusnarsbergs kommun|Ingår i boende/paket|Okänd|https://www.klotenresort.se/saker-att-gora-i-kloten/
Grebo Bastubåt|Grebo hamn|Åtvidabergs kommun|Okänd|Okänd|https://grebobastubat.se/
Örnvikens Bastu|Örnvikens badplats|Söderköpings kommun|Okänd|Okänd|https://boka.ornviken-soderkoping.se/sv/Bastu
Eriksvik Bastu|Eriksviks badplats|Söderköpings kommun|Okänd|Okänd|https://betala.eriksvik.com/sv/bastu
Linköpings kommun – Bastu (zonindelning)|Kommunala anläggningar|Linköpings kommun|Okänd|Okänd|https://lv1.se/zonindelning/bastu/
Kapten Bille – Bastu|Sankt Anna skärgård, exakt plats varierar|Söderköpings kommun|Okänd|Okänd|https://kaptenbille.se/aktiviteter/
Skärgårdsbyn – Bastu & Relax|Skärgårdsbyn, 614 98 Sankt Anna|Söderköpings kommun|Ingår i boende/paket|Okänd|https://skargardsbyn.se/relax/
Skärgårdskompaniet – Bastu Harstena|Harstena|Valdemarsviks kommun|Okänd|Okänd|https://www.skargardskompaniet.se/bastu-harstena/
Glasbruket Gryt – Bastu|Gryts Bruk, adress ej angiven|Valdemarsviks kommun|Okänd|Okänd|https://glasbruket.com/aktiviteter/
Borghamn Strand – Vedeldad Bastu|Borghamn Strand, 592 93 Borghamn|Motala kommun|Okänd|Okänd|https://www.borghamn.com/vedeldad-bastu-badtunna/
Stegeborg – Bastu|Stegeborgs hamn|Söderköpings kommun|Okänd|Okänd|https://www.stegeborg.se/upplevelser/bastu/
Rimforsa Strand – Bastu|Rimforsa Strand, Strandvägen 2, 590 44 Rimforsa|Kinda kommun|Okänd|Okänd|https://rimforsastrand.se/se-och-gora/bastu/
Norrköpings kommun – Bastu (bokningsobjekt)|Kommunal anläggning, exakt plats varierar|Norrköpings kommun|Okänd|Okänd|https://minasidor.norrkoping.se/oversikt/overview/818
