Namn|Adress|Stad/kommun|Avgift|Öppettider|Webbplats
Pontusbadet|Bastugatan 6-8, 972 41 Luleå|Luleå|Vuxen 70 kr; Barn 4–17 år 34 kr; Barn 0–3 år gratis|Mån 08:30–16:30 & 18:30–21:00; Tis 06:30–19:00; Ons 08:30–16:30 & 18:30–21:00; Tors 08:30–21:00; Fre 06:30–19:00; Lör 09:00–15:30; Sön 12:00–17:00|https://www.lulea.se/uppleva–gora/idrott-och-motion/bad/pontusbadet.html
Hertsö badhus|Hertsötorget 2, 974 52 Luleå|Luleå|Vuxna (även pensionärer) 70 kr; Barn 4–17 år 34 kr; Barn 0–3 år gratis|Mån 06:00–18:00; Tis 15:00–21:00; Ons 11:00–12:30 & 15:00–19:30; Tors Stängt; Fre 11:00–12:30 & 15:00–19:00; Lör 08:00–15:30; Sön 10:00–15:30|https://www.lulea.se/uppleva–gora/idrott-och-motion/bad/hertso-badhus.html
Gammelstads badhus|Stadsötorget 2B, 954 31 Gammelstad|Luleå|Okänd|Mån 15:00–19:00; Tis 11:00–12:30; Ons 06:30–08:30 & 15:00–20:30; Tors 11:00–12:30 & 15:00–19:30; Fre 06:30–19:00; Lör 10:00–15:30; Sön 08:30–15:30|https://www.lulea.se/uppleva–gora/idrott-och-motion/bad/gammelstads-badhus.html
Råneå badhus|Klapphällsstigen 9, 955 31 Råneå|Luleå|Vuxen 59 kr; Pensionär 47 kr; Barn 4–17 år 29 kr; Barn under 4 år gratis|Mån 06:30–08:00 & 14:00–20:00; Tis 14:00–20:30; Ons Stängt; Tors 14:00–20:30; Fre Stängt; Lör 10:00–15:30; Sön 09:00–15:30|https://www.lulea.se/uppleva–gora/idrott-och-motion/bad/ranea-badhus.html
Nordpoolen|Garnisonsgatan 1, 961 75 Boden|Boden|Vuxen 3 timmar 100 kr; Ungdom (3–17 år) 3 timmar 70 kr (övriga priser finns på webbplats)|Okänd|https://www.nordpoolen.com/
Kalix SportCity (simhall/relax med bastu)|Centrumvägen 74, 952 32 Kalix|Kalix|Bad 1 gång: Barn/ungdom 7–19 år 25 kr; Studerande 42 kr; Pensionär 58 kr; Vuxen 58 kr (övriga priser finns på webbplats)|Mån 14:00–20:00 (kvällssim 20:00–21:00); Tis 14:00–19:00 (morgonsim 06:00–08:00); Ons 14:00–17:00; Tors 14:00–20:00 (morgonsim 06:00–08:00; kvällssim 20:00–21:00); Fre 14:00–18:00; Lör 09:00–15:30; Sön 12:00–16:00|https://www.kalix.se/Uppleva/SportCity/
Öjeby simhall|N. Björklundavägen 2, 943 31 Öjebyn|Piteå|Entré vuxen 60 kr; Entré barn/ungdom 35 kr; Barn 0–6 år gratis|Bastu: Mån 08:00–20:00; Tis 06:00–20:30; Ons 08:00–19:30; Tors 06:00–20:30; Fre 08:30–19:45; Lör 08:00–14:00; Sön 08:00–18:00|https://www.pitea.se/invanare/fritid-kultur/pitea-simhallar/ojeby-simhall/
Sjöparksbadet|Hellebergsvägen 2, 982 35 Gällivare|Gällivare|Okänd|Mån–Fre 11:00–21:00; Lör–Sön 13:00–17:00 (måndag & onsdag även motionssim 07:00–08:00)|https://gallivare.se/uppleva-och-gora/idrott-motion-och-friluftsliv/simhallar-och-badhus
Hakkas simhall|Byavägen 30D, 982 71 Hakkas|Gällivare|Okänd|Mån 16:00–20:00; Ons 16:00–20:00; Fre 15:00–19:00|https://gallivare.se/uppleva-och-gora/idrott-motion-och-friluftsliv/simhallar-och-badhus
Simhallen (Sim- och sporthallen Aspen)|Västra Esplanaden 25, 953 32 Haparanda|Haparanda|Vuxen 60 kr (fr.o.m. 1 mars 2026); Pensionär 45 kr; Ungdom/studerande/värnpliktig 30 kr; Barn upp till 7 år gratis i målsmans sällskap|Mån Stängt; Tis–Tors 06:00–08:00 & 16:00–20:00; Fre 16:00–20:00; Lör–Sön 10:00–15:00|https://www.haparanda.se/fritid-och-kultur/idrott-och-motion/idrottsplatser-och-lokaler/sim–och-sporthallen-aspen-/simhallen
Sporthallen (bastu)|Adolf Hedinsvägen 37, 981 33 Kiruna|Kiruna|45 kr dagskort; 600 kr årskort|Mån 10:00–22:00; Tis–Tors 06:00–22:00; Fre 06:00–19:00; Lör 08:00–17:00; Sön 08:00–17:00|https://kiruna.se/uppleva–gora/idrott-motion-och-friluftsliv/idrottsanlaggningar-och-hallar/sporthallen/bastu.html
