Namn|Adress|Stad/kommun|Avgift|Öppettider|Webbplats
Eyrabadet|Eyragatan 3, 702 27 Örebro|Örebro kommun|Vuxen 75 kr; Barn 0–17 år 30 kr; Minigrupp (max 2 vuxna + 3 barn) 180 kr|Okänd|https://www.orebro.se/kultur–fritid/fritid–aktiviteter/badanlaggningar/eyrabadet.html
Hagabadet|Haga centrum, Örebro|Örebro kommun|Vuxen 75 kr; Barn 0–17 år 30 kr; Minigrupp (max 2 vuxna + 3 barn) 180 kr|Simhall (ordinarie): Mån 6–20; Tis 6–17 + 19–20.30; Ons 6–20; Tor 8–16 + 19–20.30; Fre 6–20; Lör 10–16.30; Sön 9–14|https://www.orebro.se/kultur–fritid/fritid–aktiviteter/badanlaggningar/hagabadet.html
Brickebackens bad|Brickebackens centrum, Björkrisvägen 18, 702 34 Örebro|Örebro kommun|Vuxen 75 kr; Barn 0–17 år 30 kr; Minigrupp (max 2 vuxna + 3 barn) 180 kr|Tillfälligt stängt|https://www.orebro.se/kultur–fritid/fritid–aktiviteter/badanlaggningar/brickebackens-bad.html
Tranquilo Relax & Bar|Kulvägen 8, 703 69 Örebro|Örebro kommun|Pris från 399 kr/person|Öppet dagligen ca 09:00–22:00 (bokning)|https://tranquilorelax.se/
Sörbybacken Relax (bastu & badtunna)|Sörbybacken 2, 702 21 Örebro|Örebro kommun|Relax bastu & badtunna: 2500 kr (4 timmar)|Okänd (bokning, säsongsberoende)|https://sorbybacken.se/relax/
Djupadalsbadet|Vattugatan 34, 692 31 Kumla|Kumla kommun|Okänd|Motionsbad: Mån–Fre 06:30–20:00; Lör–Sön 09:00–18:00. Äventyrsbad & relax: Mån–Fre 10:00–20:00; Lör–Sön 09:00–18:00|https://www.djupadalsbadet.se/
Alléhallen (simhall/bastu)|Södra Allén 6, 694 35 Hallsberg|Hallsbergs kommun|Bad: Vuxen 80 kr; Barn 7–17 år 65 kr; Pensionär 65 kr. Bastu & dusch: 50 kr|Okänd|https://www.hallsberg.se/kultur-och-fritid/allehallens-simhall-och-gym/oppettider-och-priser.html
Badhuset Energikällan|Kungsgatan 39, 711 30 Lindesberg|Lindesbergs kommun|Enkel entré vuxen 100 kr; pensionär/studerande 80 kr; barn (födda 2008–2022) 70 kr; relaxentré drop-in: entré + 100 kr|Reception: Mån–Fre 06:15–20:00; Lör–Sön 09:00–18:00. Bassänger/relax: Mån–Fre 06:15–19:30; Lör–Sön 09:00–17:30|https://energikallan.se/
Strandbadet|Hertig Carls Allé 46-52, 691 41 Karlskoga|Karlskoga kommun|Badentré: vuxen 75 kr; barn 45 kr; barn 0–2 år 25 kr|Okänd (se ”Strandbadets öppettider” på webbplats)|https://karlskoga.se/uppleva–gora/strandbadet.html
Nora Simhall|Idrottshuset vid Karlsängskolan (simhallen), Nora|Nora kommun|Vuxen 60 kr; barn 6–17 år 30 kr; pensionär 40 kr|Mån 13–14 (pensionärsbad); Tis 06–08 (motionssim) + 15–19; Ons 15–18 + 18–19 (vuxenbad); Tor 15–19; Fre 06–08 (motionssim) + 15–17 + 17–19 (vuxenbad); Lör 08:30–09:30 (vuxenbad) + 09:30–13|https://www.nora.se/upplevagora/idrottmotionochfriluftsliv/simhall.4.63100b54128a6cfa47c8000183.html
Hällefors Badhus|Sävenforsvägen 12, 712 34 Hällefors|Hällefors kommun|Vuxen (från 16 år) 60 kr|Mån–Lör under skolterminer; stängt för allmänheten på sommaren|https://www.hellefors.se/badhuset.html
Hurtigtorpet (dusch & bastu)|Hurtigtorpet, Hällefors|Hällefors kommun|Enstaka tillfälle: 15 kr/person (icke-medlemmar årskort finns)|Okänd|https://www.svenskalag.se/halleforssk/sida/105487/dusch-bastu
