Namn|Adress|Stad/kommun|Avgift|Öppettider|Webbplats
Tinnerbäcksbadet (Medley)|Folkungaplan 1, 582 25 Linköping|Linköping|150 kr vuxen (bad, “övriga tider”)|Okänd|https://www.medley.se/tinnerbacksbadet/
Ljungsbro Fritidscenter (Medley)|Hanorpsvägen, 590 74 Ljungsbro|Linköping|Okänd|Okänd|https://www.medley.se/ljungsbro-fritidscenter/
Centralbadet (Medley)|Badhusgatan 4, 603 50 Norrköping|Norrköping|95 kr vuxen (vardagar före kl 15)|Okänd|https://www.medley.se/centralbadet/
Inre hamnens bastu|Skeppskajen 36, 602 51 Norrköping|Norrköping|Okänd|Okänd|https://visit.norrkoping.se/ata-och-dricka/cafeer/inre-hamnens-bastu–glassbar
Åbybadet (Medley)|Hultvägen 6, 616 32 Åby|Norrköping|45 kr vuxen|Mån–Tor 17:00-20:00 (fre–sön stängt)|https://www.medley.se/abybadet/
Råsslabadet (Medley)|Råsslavägen 20, 618 32 Kolmården|Norrköping|45 kr vuxen|Mån 17:00-20:00, Tis 17:00-20:00, Ons 17:00-20:00, Tor stängt, Fre 17:00-20:00, Lör stängt, Sön stängt|https://www.medley.se/rasslabadet/
Skärblackabadet (Medley)|Mosstorpsvägen 56, 617 30 Skärblacka|Norrköping|60 kr vuxen|Okänd|https://www.medley.se/skarblackabadet/
Motala simhall|Östermalmsgatan 40, 591 35 Motala|Motala|75 kr vuxen (entré); Relax: 130 kr|Okänd|https://www.motala.se/uppleva-och-gora/motala-simhall/
Lundbybadet|Folkparksgatan 4, 595 30 Mjölby|Mjölby|80 kr vuxen|Mån 10-20; Tis 6.30-20; Ons 9.30-20; Tor 6.30-20; Fre 9.30-18; Lör 10-16.30; Sön 10-16.30|https://www.mjolby.se/uppleva-och-gora/idrott-motion-och-friluftsliv/lundbybadet
Arena Grosvad (Actic)|Grosvadsvägen 5, 612 41 Finspång|Finspång|90 kr vuxen (vardagar före kl 15); 110 kr vuxen (vardagar efter kl 15 & helg)|Okänd|https://www.actic.se/hitta-gym/finspang/grosvad/bad/
Bastu på Notholmen (Stegeborg)|Stegeborg, 614 97 Söderköping|Söderköping|350–550 kr/tillfälle|Okänd|https://www.stegeborg.se/upplevelser/bastu/
Örnviken vedeldad bastuflotte (bokning)|Örntorpet 1, 615 93 Valdemarsvik|Valdemarsvik|Okänd|Okänd|https://boka.ornviken-soderkoping.se/sv/Bastu
