Namn|Adress|Stad/kommun|Avgift|Öppettider|Webbplats
Munktellbadet|Holger Lindmarks plats 4, 633 61 Eskilstuna|Eskilstuna kommun|Vuxen (BadEntré alla tider): 115 kr|Okänd|https://www.medley.se/munktellbadet/
Hjortensbergsbadet|Stockholmsvägen 36, 611 37 Nyköping|Nyköpings kommun|Vuxen (BadEntré alla tider): 115 kr|Simhall: mån–tors 06:00–20:30; fre 06:00–19:30; lör–sön 09:00–16:30|https://www.medley.se/hjortensbergsbadet/
Ramdalens sportcenter (simhall)|Torpsvägen 1C, 613 35 Oxelösund|Oxelösunds kommun|Okänd|Simhall: mån–tors 06:00–20:30; fre 06:00–19:30; lör 08:00–16:00; sön 09:00–16:00|https://www.medley.se/ramdalens-sportcenter/
Safiren|Centrumvägen 22, 619 73 Vagnhärad|Trosa kommun|Okänd|Simhall: mån 11:00–19:00; tis 06:00–20:30; ons 06:00–19:00; tors 06:00–19:00; fre 09:30–18:00; lör 11:00–16:30; sön 09:00–16:00|https://www.medley.se/safiren/
Freja Bad & Gym|Okänd|Gnesta kommun|Vuxen (bad, enstaka besök): 70 kr|Bad (ordinarie): mån 06:30–20:30; tis 15:00–18:45 (motionssim 18:45–20:30); ons 06:30–09:00 & 15:00–18:00 (motionssim 18:00–20:30); tors 12:00–20:30; fre 06:30–18:30; lör 10:00–15:30; sön 10:00–15:30|https://www.gnesta.se/kulturfritid/frejabadgym/
Flens simhall|Okänd|Flens kommun|Vuxen (Bad med bastu, engångsbesök): 75 kr|Mån 12:00–20:00; tis 06:30–20:00; ons 12:00–20:00; tors 12:00–20:00; fre 06:30–19:30; lör 10:00–15:30; sön 10:00–15:30|https://flen.se/uppleva–gora/simhall
Larslunda simhall|Arenavägen 10, 645 45 Strängnäs|Strängnäs kommun|Vuxen (inträde): 75 kr|Simhall: mån–fre 06:00–21:00; helgdagar 10:00–18:00 (bastu vardagar 06:00–20:45, onsdag från 10:00)|https://www.strangnas.se/uppleva-och-gora/idrott-motion-och-friluftsliv/simhallar-badhus/larslunda-simhall
Åkersbadet|Skolvägen 1, Åkers Styckebruk|Strängnäs kommun|Vuxen (per tillfälle): 55 kr|Ordinarie: tis 15:00–20:00; ons 06:30–08:00; tors 15:00–20:00; fre 06:30–08:00 & 14:00–19:00; lör 11:00–16:00 (mån/sön stängt)|https://www.strangnas.se/uppleva-och-gora/idrott-motion-och-friluftsliv/simhallar-badhus/akersbadet
Simhallen (Katrineholm)|Västgötagatan 39, Katrineholm|Katrineholms kommun|Vuxen (dagbiljett): 80 kr|Mån stängt; tis 06:15–20:00; ons 08:30–20:00; tors 06:15–20:00; fre 08:30–20:00; lör 08:30–16:00; sön 08:30–16:00|https://www.katrineholm.se/uppleva-och-gora/idrott-motion-och-friluftsliv/sportcentrum-anlaggningar-och-hallar/simhallen.html
Vingåkersbadet|Okänd|Vingåkers kommun|Vuxen (dagsbiljett): 65 kr|Ordinarie: mån stängt; tis 13:00–20:00; ons 13:00–20:00; tors 13:00–17:30 (vuxenkväll 17:30–20:00); fre 13:00–20:00; lör 09:00–15:00; sön 09:00–15:00|https://vingaker.se/kultur–fritid/vingakersbadet
