Namn|Adress|Stad/kommun|Avgift|Öppettider|Webbplats
Eriksdalsbadet|Hammarby Slussväg 20, 118 60 Stockholm|Stockholm|105 kr (vuxen engångsentré)|Mån 06.00–21.00; Tis 06.00–21.00; Ons 06.00–21.00; Tor 06.00–21.00; Fre 06.00–20.00; Lör 08.00–18.00; Sön 08.00–20.00|https://motionera.stockholm/trana-gymma-simma/eriksdalsbadet/
Forsgrénska badet|Medborgarplatsen 6, 118 26 Stockholm|Stockholm|95 kr (vuxen engångsentré)|Mån 06.30–21.00; Tis 06.30–21.00; Ons 06.30–21.00; Tor 06.30–21.00; Fre 12.00–20.00; Lör 09.00–16.00; Sön 09.00–17.00|https://motionera.stockholm/trana-gymma-simma/forsgrenska-badet/
Åkeshovs simhall|Bergslagsvägen 60, 168 55 Bromma|Stockholm|95 kr (vuxen engångsentré)|Mån 06.30–21.00; Tis 06.30–21.00; Ons 06.30–21.00; Tor 10.00–21.00; Fre 06.30–21.00; Lör 08.00–18.00; Sön 08.00–21.00|https://motionera.stockholm/trana-gymma-simma/akeshovs-simhall/
Västertorps simhall|Personnevägen 90, 129 49 Hägersten|Stockholm|95 kr (vuxen engångsentré)|Mån 06.30–21.00; Tis 06.30–21.00; Ons 06.30–21.00; Tor 10.00–21.00; Fre 06.30–19.30; Lör 10.00–16.00; Sön 10.00–18.00|https://motionera.stockholm/trana-gymma-simma/vastertorps-simhall/
Farsta simhall|Farstaängsvägen 3, 123 46 Farsta|Stockholm|95 kr (vuxen engångsentré)|Mån 06.30–19.30; Tis 10.00–18.30; Ons 06.30–21.00; Tor 06.30–20.00; Fre 06.30–17.30; Lör 08.30–15.00; Sön 09.30–15.00|https://motionera.stockholm/trana-gymma-simma/farsta-simhall/
Skärholmens simhall|Bodholmsgången 10, 127 48 Skärholmen|Stockholm|95 kr (vuxen engångsentré)|Mån 06.30–21.00; Tis 06.30–21.00; Ons 11.00–21.00; Tor 06.30–21.00; Fre 06.30–20.00; Lör 10.00–17.00; Sön 10.00–17.00|https://motionera.stockholm/trana-gymma-simma/skarholmens-simhall/
Husbybadet|Edvard Griegsgången 30, 164 32 Kista|Stockholm|95 kr (vuxen engångsentré)|Mån 06.30–20.00; Tis 13.00–20.00; Ons 06.30–17.00; Tor 06.30–20.00; Fre 06.30–20.00; Lör 10.00–16.00; Sön 10.00–16.00|https://motionera.stockholm/trana-gymma-simma/husbybadet/
Sätrabastun (vid Sätrastrandsbadet)|Alsätravägen 250, 127 30 Skärholmen|Stockholm|40 kr (swish på plats)|Okänd|https://xn--strabastun-q5a.se/
Folkbastu – Castor & Pollux (Årstaviken)|Vid Årstaviken nedanför Eriksdalsbadet (Hammarby Slussväg 20), Södermalm, Stockholm|Stockholm|154–224 kr (plats på gemensamt pass)|Öppet 09.00–22.45|https://folkbastu.se/
Hellasgården (bastu)|Ältavägen 101, 131 33 Nacka|Nacka|Okänd|Vardagar 08.45–20.45; Lör–Sön 09.15–17.45|https://hellasgarden.se/aktiviteter/bastu/
Flottsbro Bastuflotte|Häggstavägen 20, 141 32 Huddinge|Huddinge|500 kr (drop-in 2h) / 2500 kr (förbokning 3h)|Okänd|https://www.flottsbro.se/sv/bastuflotte
Centralbadet (bastu/spa)|Drottninggatan 88, 111 36 Stockholm|Stockholm|Spaentré från 395 kr (3h, pris varierar)|Mån–Fre 07.00–20.30; Lör 09.00–19.00; Sön 09.00–17.30 (stängt för renovering fr.o.m. 2026-03-01)|https://centralbadet.se/bastu
Kallbadhuset i Brunnsviken (Kallis)|Frescati Hagväg, 114 18 Stockholm|Stockholm|Ca 120–180 kr|Säsongsöppet, tider varierar|https://www.kallisbrunnsviken.se
Bastu Södra Hammarbyhamnen (Folkets Bastu)|Hammarby Sjöstad, kajplats nära Luma, 120 30 Stockholm|Stockholm|Ca 150–250 kr|Okänd (bokningsbaserat)|https://folkbastu.se
Rålis Bastu (Rålambshovsparken)|Rålambshovsparken vid Mälaren, 112 39 Stockholm|Stockholm|Ca 150–250 kr|Okänd (säsong & bokning)|https://folkbastu.se
Långholmens Bastuflotte|Pålsundet, Långholmen, 117 33 Stockholm|Stockholm|Okänd|Okänd|https://langholmenkajak.se
Sickla Bastu & Isvak|Sickla strand, 131 54 Nacka|Nacka|Ca 200 kr|Säsongsöppet (vinter)|https://www.sicklastrand.se
Stora Essingen Bastuflotte|Essingestråket, 112 65 Stockholm|Stockholm|Okänd|Okänd|Okänd
Bastu Björkhagen (vinterbad)|Vid Hellasgårdens sjösystem, Björkhagen|Stockholm|Okänd|Säsongsöppet|Okänd
