Namn|Adress|Stad/kommun|Avgift|Öppettider|Webbplats
Hagfors badhus|Älvstrandsvägen 2, 683 30 Hagfors|Hagfors|Vuxen 85 kr (övriga priser finns på webbplatsen)|Mån stängt, Tis 13:00-19:00, Ons 13:00-19:00, Tor 13:00-20:00, Fre 13:00-19:00, Lör 10:00-14:00, Sön 12:00-16:00|https://www.hagfors.se/undersidor/fritid-och-kultur/idrott-motion-och-friluftsliv/hagfors-badhus.html
Sysslebäcksbadet|Idrottsgatan 28, 680 60 Sysslebäck|Torsby|Vuxen 45 kr (övriga priser finns på webbplatsen)|Mån-Ons 16:00-20:00, Tor 12:00-19:00, Fre 16:00-20:00, Lör 10:00-14:00, Sön stängt (motsionssim vissa dagar 15:00-16:00)|https://torsby.se/upplevagora/idrottmotionochfriluftsliv/simhallarbadhus/sysslebacksbadet.4.108f9ad3156b3ea512042593.html
Grums bad och sport|Åsgatan 26, 664 80 Grums|Grums|Vuxen 60 kr (övriga priser finns på webbplatsen)|Okänd|https://www.grums.se/upplevagora/badochsporthall.5831.html
Klarälvsbadet (Deje)|Bruksvägen 1G, 669 30 Deje|Forshaga|Okänd|Allmänhetens bad: Tis 15:00-19:00, Ons 15:00-19:00, Tor 15:00-19:00, Fre 15:00-19:00, Sön 12:00-16:00 (lördagar kan vara stängt vissa perioder, se webbplats)|https://www.forshaga.se/upplevaochgora/idrottmotionochfriluftsliv/klaralvsbadet/klaralvsbadetsoppettider.4.1a345d4018bcc05b9a96a42.html
Forsnäsbadet|Uddeholmsvägen 1, 684 31 Munkfors|Munkfors|Okänd|Mån stängt, Tis 16:00-17:30 pensionärssim och 17:30-20:00 träningssim, Ons 16:00-20:00 allmänhetens bad, Tor 16:00-17:30 pensionärssim och 17:30-20:00 träningssim, Fre 16:00-20:00 allmänhetens bad, Lör 12:00-16:00 allmänhetens bad, Sön stängt|https://www.munkfors.se/print-info.php?print=241
Spångbergshallen Bad|Spångbergsvägen 1, 682 31 Filipstad|Filipstad|Vuxen 85 kr (övriga priser finns på webbplatsen)|Ordinarie (sammanfattning): Mån 06:00-09:00 morgonsim, Tis 14:00-20:00 allmänt bad, Ons 14:00-20:00 allmänt bad, Tor 06:00-20:00 vuxenbad 18+ , Fre 14:00-20:00 allmänt bad, Lör 10:00-16:00 allmänt bad (detaljer och varianter per badtyp finns på webbplatsen)|https://www.filipstad.se/toppmeny/upplevaochgora/sportochfritid/simhallenspangbergshallenbad.1504.html
Kristinehamn Arena (Bad/Bastu)|Arenavägen 3, 681 54 Kristinehamn|Kristinehamn|Dagsentré bad vuxen 105 kr (övriga priser finns på webbplatsen)|Bad/Bastu: Mån 09:00-18:30, Tis 06:15-18:30, Ons 06:15-20:30, Tor 06:15-18:30, Fre 09:00-19:30, Lör 09:00-18:30, Sön 09:00-16:30|https://kristinehamnarena.se/
Skymningens bastu|Vålösundsvägen 2, 681 37 Kristinehamn|Kristinehamn|Okänd|Okänd|https://www.visitvarmland.com/kristinehamn/aktiviteter/bada/skymningens-bastu
Sundstabadet|Okänd|Karlstad|Okänd|Okänd|https://karlstad.se/sundstabadet
Vålbergs simhall (Sim- & sporthall Vålberg)|Okänd|Karlstad|Okänd|Okänd|Okänd
