Namn|Adress|Stad/kommun|Avgift|Öppettider|Webbplats
Himlabadet (Relax)|Universitetsallén 13, 852 34 Sundsvall|Sundsvalls kommun|260 kr vuxen (familjerelax), 160 kr 10–17 år (familjerelax)|Relax ordinarie: mån–ons 10.00–20.00; tor–fre 10.00–22.00; lör 10.00–20.00; sön 10.00–18.00|https://himlabadet.se/
Alnöbadet|Raholmsvägen 27A, 865 31 Alnö|Sundsvalls kommun|Okänd|Varierar per dag (ex: mån 11.00–19.00; ons 06.30–08.00 + 11.00–19.00; lör–sön 10.00–15.00)|https://sundsvall.se/kommun/uppleva-och-gora/idrott-motion-och-friluftsliv/bad/badhus-simhallar/alnobadet
Matforshallen|Skölevägen 13, 864 31 Matfors|Sundsvalls kommun|Okänd|Varierar per dag (bl.a. vuxensim vissa pass); se schema på webbplatsen|https://sundsvall.se/kommun/uppleva-och-gora/idrott-motion-och-friluftsliv/bad/badhus-simhallar/matforshallen
Timrå Simhall (inkl. relax/bastu)|Lill-Strimmas väg 9, 861 36 Timrå|Timrå kommun|90 kr vuxen (bad, enkel)|1/9–31/5: mån 10.00–19.30; tis 13.00–19.30; ons 10.00–19.30; tor 10.00–19.30; fre 10.00–19.30; lör 09.00–15.30 (avvikande tider finns)|https://www.timra.se/upplevagora/idrottsanlaggningar/simhall.4.1e19378518c8eb00979324.html
Härnösands Simhall – Stillery Relax & Poolclub|Kanaludden 4, 871 31 Härnösand|Härnösands kommun|190 kr|Mån–fre 16.00–21.00; lör 11.30–21.00; sön stängt|https://hernoginhotell.com/stillery/
Paradiset (badhus/spa med bastu)|Lasarettsgatan 15, 891 33 Örnsköldsvik|Örnsköldsviks kommun|Okänd|Okänd|https://www.paradisetornskoldsvik.se/
Ådalshallen (simhall)|Sporthallsgatan 1, 872 80 Kramfors|Kramfors kommun|55 kr vuxen (dagkort)|Mån 12.00–19.30; tis 06.00–08.00 + 12.00–19.00; ons 12.00–19.30; tor 15.00–18.00 + 18.00–21.00 (vuxenkväll 16+); fre 12.00–19.30; lör 11.00–14.30; sön 11.00–14.30|https://www.kramfors.se/se–gora/idrott-och-motion/sim–och-idrottshallar/adalshallen.html
Bollstahallen (bastu/omklädning + simhall)|Ådalsvägen 10, 873 30 Bollstabruk|Kramfors kommun|55 kr vuxen (bad, dagkort)|Bastu/omkl: mån–fre 10.00–20.00 (tor från 12.00); lör 11.00–15.00; sön stängt. Simhall: mån 15.00–19.30; tis 12.00–16.00; ons 15.00–20.00; tor stängt; fre 15.00–19.30; lör–sön stängt|https://www.kramfors.se/se–gora/idrott-och-motion/sim–och-idrottshallar/bollstahallen.html
Aquarena (Sollefteå)|Hågesta 230, 881 41 Sollefteå|Sollefteå kommun|Okänd|Okänd|https://www.solleftea.se/
Ljungandalens Bad & Sport|Badhusvägen, 841 71 Fränsta|Ånge kommun|Okänd|Okänd|https://invanare.ange.se/
